Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,2022/02/12,09:58:59,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,09:58:59,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,09:58:59,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,09:58:59,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,380,2022/02/12,09:58:59,NULL
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,09:59:01,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,09:59:01,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,09:59:01,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,09:59:19,NULL
192.168.1.3,192.168.1.1,62652,53,W,NULL,UDP,128,71,2022/02/12,09:59:19,NULL
192.168.1.1,192.168.1.3,53,62652,L,NULL,UDP,64,294,2022/02/12,09:59:20,NULL
192.168.1.3,5.62.44.219,55588,443,W,S,TCP,128,52,2022/02/12,09:59:20,[PORT]
192.168.1.3,5.62.44.219,51960,443,W,S,TCP,128,52,2022/02/12,09:59:20,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,SA,TCP,48,48,2022/02/12,09:59:20,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,2022/02/12,09:59:20,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,PA,TCP,128,557,2022/02/12,09:59:21,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,SA,TCP,48,48,2022/02/12,09:59:21,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,2022/02/12,09:59:21,[PORT]
192.168.1.3,5.62.44.219,51960,443,W,PA,TCP,128,557,2022/02/12,09:59:22,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,40,2022/02/12,09:59:22,NULL
5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,1500,2022/02/12,09:59:22,NULL
5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,1500,2022/02/12,09:59:22,NULL
5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,278,2022/02/12,09:59:22,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,2022/02/12,09:59:22,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,40,2022/02/12,09:59:23,NULL
5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,1500,2022/02/12,09:59:24,NULL
5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,1500,2022/02/12,09:59:24,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,2022/02/12,09:59:24,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,PA,TCP,48,280,2022/02/12,09:59:25,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,2022/02/12,09:59:25,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,PA,TCP,128,166,2022/02/12,09:59:25,[PORT]
192.168.1.3,5.62.44.219,51960,443,W,PA,TCP,128,166,2022/02/12,09:59:26,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,1500,2022/02/12,09:59:26,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,1500,2022/02/12,09:59:26,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,1500,2022/02/12,09:59:27,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,PA,TCP,128,1404,2022/02/12,09:59:28,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,PA,TCP,48,314,2022/02/12,09:59:28,NULL
5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,314,2022/02/12,09:59:29,NULL
5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,40,2022/02/12,09:59:29,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,2022/02/12,09:59:29,[PORT]
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,2022/02/12,09:59:29,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,542,2022/02/12,09:59:30,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,2022/02/12,09:59:30,[PORT]
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,09:59:30,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,09:59:30,NULL
192.168.1.3,192.168.1.1,65381,53,W,NULL,UDP,128,60,2022/02/12,09:59:30,NULL
192.168.1.1,192.168.1.3,53,65381,L,NULL,UDP,64,333,2022/02/12,09:59:30,NULL
192.168.1.3,40.126.17.135,51961,443,W,S,TCP,128,52,2022/02/12,09:59:30,[PORT]
40.126.17.135,192.168.1.3,443,51961,O,SA,TCP,109,52,2022/02/12,09:59:31,NULL
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,40,2022/02/12,09:59:31,[PORT]
