Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,86,2022/02/08,19:52:15,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,112,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,152,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,153,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,150,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,159,2022/02/08,19:52:15,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,67,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,151,2022/02/08,19:52:15,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,102,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,146,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,143,2022/02/08,19:52:15,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,74,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,165,2022/02/08,19:52:15,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,86,2022/02/08,19:52:16,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,153,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.193.74,49261,443,W,NULL,UDP,128,61,2022/02/08,19:52:16,[PORT]
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,149,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,141,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:16,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:17,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:17,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:17,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1234,2022/02/08,19:52:17,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:17,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1235,2022/02/08,19:52:17,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,122,2022/02/08,19:52:17,NULL
142.250.193.74,192.168.43.6,443,49261,O,NULL,UDP,52,53,2022/02/08,19:52:17,[PORT]
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1235,2022/02/08,19:52:17,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,94,2022/02/08,19:52:17,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,139,2022/02/08,19:52:17,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,148,2022/02/08,19:52:17,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,152,2022/02/08,19:52:17,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,154,2022/02/08,19:52:17,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,94,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:18,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,142,2022/02/08,19:52:18,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,153,2022/02/08,19:52:18,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,162,2022/02/08,19:52:18,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,153,2022/02/08,19:52:18,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,143,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1208,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,86,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,140,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:18,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
