Defaulter,Total,Protocol,TTL,Length,Date,Time,Comments
,,,,,,,
0,1,UDP,128,1274,15-01-2022,12:06:28,[IP]
,,,,,,,
0,2,UDP,128,1185,15-01-2022,12:06:28,[IP]
,,,,,,,
0,3,UDP,128,60,15-01-2022,12:06:28,[IP]
,,,,,,,
0,4,UDP,128,54,15-01-2022,12:06:28,[IP]
,,,,,,,
0,5,UDP,64,124,15-01-2022,12:06:29,[IP]
,,,,,,,
0,6,UDP,64,118,15-01-2022,12:06:29,[IP]
,,,,,,,
0,7,TCP,128,52,15-01-2022,12:06:29,[IP]
,,,,,,,
0,8,TCP,128,52,15-01-2022,12:06:29,
,,,,,,,[IP]
0,9,UDP,52,55,15-01-2022,12:06:29,
,,,,,,,[IP]
0,10,UDP,52,53,15-01-2022,12:06:29,
,,,,,,,[IP]
0,11,UDP,128,61,15-01-2022,12:06:29,
,,,,,,,[IP]
0,12,TCP,237,52,15-01-2022,12:06:29,
,,,,,,,[IP]
0,13,TCP,128,40,15-01-2022,12:06:29,
,,,,,,,[IP]
0,14,TCP,128,557,15-01-2022,12:06:29,
,,,,,,,
0,15,TCP,237,52,15-01-2022,12:06:29,[IP]
,,,,,,,
0,16,TCP,128,40,15-01-2022,12:06:29,[IP]
,,,,,,,
0,17,TCP,128,557,15-01-2022,12:06:29,[IP]
,,,,,,,
0,18,TCP,237,52,15-01-2022,12:06:29,[IP]
,,,,,,,
0,19,TCP,128,52,15-01-2022,12:06:29,[IP]
,,,,,,,
0,20,TCP,237,52,15-01-2022,12:06:29,[IP]
,,,,,,,
0,21,TCP,128,52,15-01-2022,12:06:29,
,,,,,,,[IP]
0,22,TCP,237,40,15-01-2022,12:06:29,
,,,,,,,[IP]
0,23,TCP,237,1410,15-01-2022,12:06:29,
,,,,,,,[IP]
0,24,TCP,237,1410,15-01-2022,12:06:29,
,,,,,,,[IP]
0,25,TCP,237,40,15-01-2022,12:06:29,
,,,,,,,[IP]
0,26,TCP,237,1288,15-01-2022,12:06:29,
,,,,,,,[IP]
0,27,TCP,128,40,15-01-2022,12:06:29,
,,,,,,,
0,28,TCP,128,104,15-01-2022,12:06:29,[IP]
,,,,,,,
0,29,TCP,128,132,15-01-2022,12:06:29,[IP]
,,,,,,,
0,30,TCP,128,659,15-01-2022,12:06:29,[IP]
,,,,,,,
0,31,TCP,237,1410,15-01-2022,12:06:29,[IP]
,,,,,,,
0,32,TCP,237,1410,15-01-2022,12:06:29,[IP]
,,,,,,,
0,33,TCP,237,1410,15-01-2022,12:06:29,[IP]
,,,,,,,
0,34,TCP,237,1410,15-01-2022,12:06:29,
,,,,,,,[IP]
0,35,TCP,128,40,15-01-2022,12:06:29,
,,,,,,,[IP]
0,36,TCP,237,555,15-01-2022,12:06:29,
,,,,,,,[IP]
0,37,TCP,128,104,15-01-2022,12:06:29,
,,,,,,,[IP]
0,38,TCP,128,132,15-01-2022,12:06:29,
,,,,,,,[IP]
0,39,TCP,128,511,15-01-2022,12:06:30,
,,,,,,,[IP]
0,40,UDP,52,550,15-01-2022,12:06:30,
,,,,,,,
0,41,UDP,128,63,15-01-2022,12:06:31,[IP]
,,,,,,,
0,42,UDP,52,221,15-01-2022,12:06:31,[IP]
,,,,,,,
