Defaulter,Total,Protocol,TTL,Length,Date,Time,Comments
0,1,UDP,128,84,2022/01/20,12:27:35,NULL
0,2,UDP,128,586,2022/01/20,12:27:35,NULL
0,3,UDP,45,57,2022/01/20,12:27:35,NULL
0,4,UDP,45,150,2022/01/20,12:27:35,NULL
0,5,UDP,4,165,2022/01/20,12:27:35,NULL
0,6,UDP,128,84,2022/01/20,12:27:35,NULL
0,7,UDP,45,58,2022/01/20,12:27:35,NULL
0,8,UDP,45,58,2022/01/20,12:27:35,NULL
0,9,UDP,128,77,2022/01/20,12:27:35,NULL
0,10,UDP,45,57,2022/01/20,12:27:35,NULL
0,11,UDP,128,74,2022/01/20,12:27:35,NULL
0,12,UDP,128,84,2022/01/20,12:27:35,NULL
0,13,UDP,128,79,2022/01/20,12:27:35,NULL
0,14,UDP,128,76,2022/01/20,12:27:35,NULL
0,15,UDP,45,57,2022/01/20,12:27:35,NULL
0,16,UDP,45,58,2022/01/20,12:27:36,NULL
0,17,UDP,45,58,2022/01/20,12:27:36,NULL
0,18,UDP,128,78,2022/01/20,12:27:36,NULL
0,19,UDP,45,57,2022/01/20,12:27:36,NULL
0,20,UDP,128,80,2022/01/20,12:27:36,NULL
0,21,UDP,45,57,2022/01/20,12:27:36,NULL
0,22,UDP,128,83,2022/01/20,12:27:36,NULL
0,23,UDP,45,58,2022/01/20,12:27:36,NULL
0,24,UDP,45,58,2022/01/20,12:27:36,NULL
0,25,UDP,128,79,2022/01/20,12:27:36,NULL
0,26,UDP,128,1229,2022/01/20,12:27:36,NULL
0,27,UDP,128,80,2022/01/20,12:27:36,NULL
0,28,UDP,45,57,2022/01/20,12:27:36,NULL
0,29,UDP,128,61,2022/01/20,12:27:36,NULL
0,30,UDP,128,1230,2022/01/20,12:27:36,NULL
0,31,UDP,128,86,2022/01/20,12:27:36,NULL
0,32,UDP,45,57,2022/01/20,12:27:36,NULL
0,33,UDP,128,83,2022/01/20,12:27:36,NULL
0,34,UDP,45,58,2022/01/20,12:27:36,NULL
0,35,UDP,128,1230,2022/01/20,12:27:36,NULL
0,36,UDP,128,82,2022/01/20,12:27:36,NULL
0,37,UDP,45,58,2022/01/20,12:27:36,NULL
0,38,UDP,128,1230,2022/01/20,12:27:36,NULL
0,39,UDP,128,79,2022/01/20,12:27:36,NULL
0,40,UDP,45,57,2022/01/20,12:27:37,NULL
0,41,UDP,128,1230,2022/01/20,12:27:37,NULL
0,42,UDP,128,80,2022/01/20,12:27:37,NULL
0,43,UDP,45,57,2022/01/20,12:27:37,NULL
0,44,UDP,51,53,2022/01/20,12:27:37,NULL
0,45,UDP,128,1230,2022/01/20,12:27:37,NULL
0,46,UDP,45,58,2022/01/20,12:27:37,NULL
0,47,UDP,128,81,2022/01/20,12:27:37,NULL
0,48,UDP,128,83,2022/01/20,12:27:37,NULL
0,49,UDP,128,1230,2022/01/20,12:27:37,NULL
0,50,UDP,45,58,2022/01/20,12:27:37,NULL
0,51,UDP,45,57,2022/01/20,12:27:37,NULL
0,52,UDP,128,85,2022/01/20,12:27:37,NULL
0,53,UDP,128,1230,2022/01/20,12:27:37,NULL
0,54,UDP,45,57,2022/01/20,12:27:37,NULL
0,55,UDP,128,79,2022/01/20,12:27:37,NULL
0,56,UDP,128,1230,2022/01/20,12:27:37,NULL
0,57,UDP,128,140,2022/01/20,12:27:37,NULL
0,58,UDP,128,79,2022/01/20,12:27:37,NULL
0,59,UDP,45,58,2022/01/20,12:27:37,NULL
0,60,UDP,128,1230,2022/01/20,12:27:37,NULL
0,61,UDP,128,83,2022/01/20,12:27:37,NULL
0,62,UDP,45,58,2022/01/20,12:27:37,NULL
0,63,UDP,128,79,2022/01/20,12:27:37,NULL
0,64,UDP,45,57,2022/01/20,12:27:37,NULL
0,65,UDP,128,1230,2022/01/20,12:27:37,NULL
0,66,TCP,45,250,2022/01/20,12:27:38,NULL
0,67,UDP,128,80,2022/01/20,12:27:38,NULL
0,68,UDP,45,57,2022/01/20,12:27:38,NULL
0,69,UDP,128,1230,2022/01/20,12:27:38,NULL
0,70,UDP,128,82,2022/01/20,12:27:38,NULL
0,71,UDP,45,58,2022/01/20,12:27:38,NULL
0,72,UDP,128,1230,2022/01/20,12:27:38,NULL
0,73,UDP,45,184,2022/01/20,12:27:38,NULL
0,74,UDP,128,92,2022/01/20,12:27:38,NULL
0,75,TCP,128,40,2022/01/20,12:27:38,NULL
0,76,UDP,128,75,2022/01/20,12:27:38,NULL
0,77,UDP,45,150,2022/01/20,12:27:38,NULL
0,78,UDP,45,58,2022/01/20,12:27:38,NULL
0,79,UDP,128,1230,2022/01/20,12:27:38,NULL
0,80,UDP,128,83,2022/01/20,12:27:38,NULL
0,81,UDP,45,62,2022/01/20,12:27:38,NULL
0,82,UDP,45,154,2022/01/20,12:27:38,NULL
0,83,UDP,128,82,2022/01/20,12:27:38,NULL
0,84,UDP,45,57,2022/01/20,12:27:38,NULL
0,85,UDP,128,1230,2022/01/20,12:27:38,NULL
0,86,UDP,45,58,2022/01/20,12:27:38,NULL
0,87,UDP,128,78,2022/01/20,12:27:38,NULL
0,88,UDP,128,1230,2022/01/20,12:27:38,NULL
0,89,UDP,128,80,2022/01/20,12:27:38,NULL
0,90,UDP,45,58,2022/01/20,12:27:38,NULL
0,91,UDP,128,1230,2022/01/20,12:27:39,NULL
0,92,UDP,128,83,2022/01/20,12:27:39,NULL
0,93,UDP,45,57,2022/01/20,12:27:39,NULL
0,94,UDP,45,92,2022/01/20,12:27:39,NULL
0,95,UDP,128,1230,2022/01/20,12:27:39,NULL
0,96,UDP,128,78,2022/01/20,12:27:39,NULL
0,97,UDP,45,57,2022/01/20,12:27:39,NULL
0,98,UDP,128,90,2022/01/20,12:27:39,NULL
0,99,UDP,128,1230,2022/01/20,12:27:39,NULL
0,100,UDP,45,58,2022/01/20,12:27:39,NULL
0,101,UDP,128,97,2022/01/20,12:27:39,NULL
0,102,UDP,45,58,2022/01/20,12:27:39,NULL
0,103,UDP,128,1230,2022/01/20,12:27:39,NULL
0,104,UDP,128,81,2022/01/20,12:27:39,NULL
0,105,UDP,45,57,2022/01/20,12:27:39,NULL
0,106,UDP,128,1230,2022/01/20,12:27:39,NULL
0,107,UDP,128,79,2022/01/20,12:27:39,NULL
0,108,UDP,45,57,2022/01/20,12:27:39,NULL
0,109,UDP,128,1230,2022/01/20,12:27:39,NULL
0,110,UDP,128,78,2022/01/20,12:27:39,NULL
0,111,UDP,45,58,2022/01/20,12:27:39,NULL
0,112,UDP,128,50,2022/01/20,12:27:39,NULL
0,113,UDP,45,58,2022/01/20,12:27:39,NULL
0,114,UDP,128,81,2022/01/20,12:27:39,NULL
0,115,UDP,128,1230,2022/01/20,12:27:39,NULL
0,116,UDP,45,57,2022/01/20,12:27:39,NULL
0,117,UDP,128,86,2022/01/20,12:27:39,NULL
0,118,UDP,128,1230,2022/01/20,12:27:39,NULL
0,119,UDP,128,86,2022/01/20,12:27:39,NULL
0,120,UDP,45,57,2022/01/20,12:27:40,NULL
0,121,UDP,128,1230,2022/01/20,12:27:40,NULL
0,122,UDP,45,58,2022/01/20,12:27:40,NULL
0,123,UDP,128,79,2022/01/20,12:27:40,NULL
0,124,UDP,128,1230,2022/01/20,12:27:40,NULL
0,125,UDP,45,58,2022/01/20,12:27:40,NULL
0,126,UDP,128,101,2022/01/20,12:27:40,NULL
0,127,UDP,128,96,2022/01/20,12:27:40,NULL
0,128,UDP,128,1230,2022/01/20,12:27:40,NULL
0,129,UDP,45,94,2022/01/20,12:27:40,NULL
0,130,TCP,45,248,2022/01/20,12:27:40,NULL
0,131,UDP,45,95,2022/01/20,12:27:40,NULL
0,132,UDP,128,94,2022/01/20,12:27:40,NULL
0,133,UDP,128,1230,2022/01/20,12:27:40,NULL
0,134,UDP,128,103,2022/01/20,12:27:40,NULL
0,135,UDP,45,95,2022/01/20,12:27:40,NULL
0,136,UDP,128,1230,2022/01/20,12:27:40,NULL
0,137,TCP,45,278,2022/01/20,12:27:40,NULL
0,138,TCP,128,40,2022/01/20,12:27:40,NULL
0,139,TCP,45,277,2022/01/20,12:27:40,NULL
0,140,UDP,128,92,2022/01/20,12:27:40,NULL
0,141,UDP,45,101,2022/01/20,12:27:40,NULL
0,142,UDP,128,562,2022/01/20,12:27:40,NULL
0,143,UDP,128,1230,2022/01/20,12:27:40,NULL
0,144,UDP,128,94,2022/01/20,12:27:40,NULL
