DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
10-02-2022 00:00:09,192.168.1.2,192.168.1.1,51251,53,W,N,UDP,128,76,[SAFE]
10-02-2022 00:00:09,192.168.1.1,192.168.1.2,53,51251,L,N,UDP,64,197,[SAFE]
10-02-2022 00:00:09,192.168.1.2,104.208.16.88,65531,443,W,S,TCP,128,52,[PORT]
10-02-2022 00:00:09,104.208.16.88,192.168.1.2,443,65531,O,SA,TCP,105,52,[PORT]
10-02-2022 00:00:10,192.168.1.2,104.208.16.88,65531,443,W,A,TCP,128,40,[PORT]
10-02-2022 00:00:10,192.168.1.2,104.208.16.88,65531,443,W,PA,TCP,128,237,[PORT][FLAG]
10-02-2022 00:00:11,104.208.16.88,192.168.1.2,443,65531,O,A,TCP,105,1500,[PORT]
10-02-2022 00:00:11,104.208.16.88,192.168.1.2,443,65531,O,A,TCP,105,1500,[PORT]
10-02-2022 00:00:12,104.208.16.88,192.168.1.2,443,65531,O,A,TCP,105,1500,[PORT]
10-02-2022 00:00:13,104.208.16.88,192.168.1.2,443,65531,O,A,TCP,105,1500,[PORT]
10-02-2022 00:00:13,104.208.16.88,192.168.1.2,443,65531,O,PA,TCP,105,411,[PORT][FLAG]
10-02-2022 00:00:13,192.168.1.2,104.208.16.88,65531,443,W,A,TCP,128,40,[PORT]
10-02-2022 00:00:14,192.168.1.2,104.208.16.88,65531,443,W,PA,TCP,128,198,[PORT][FLAG]
10-02-2022 00:00:14,104.208.16.88,192.168.1.2,443,65531,O,PA,TCP,105,91,[PORT][FLAG]
10-02-2022 00:00:15,192.168.1.2,104.208.16.88,65531,443,W,A,TCP,128,40,[PORT]
10-02-2022 00:00:16,192.168.1.2,104.208.16.88,65531,443,W,PA,TCP,128,573,[PORT][FLAG]
10-02-2022 00:00:16,192.168.1.2,104.208.16.88,65531,443,W,A,TCP,128,1480,[PORT]
10-02-2022 00:00:16,192.168.1.2,104.208.16.88,65531,443,W,PA,TCP,128,878,[PORT][FLAG]
10-02-2022 00:00:16,104.208.16.88,192.168.1.2,443,65531,O,A,TCP,105,40,[PORT]
10-02-2022 00:00:17,104.208.16.88,192.168.1.2,443,65531,O,PA,TCP,105,491,[PORT][FLAG]
10-02-2022 00:00:17,192.168.1.2,104.208.16.88,65531,443,W,A,TCP,128,40,[PORT]
10-02-2022 00:00:18,192.168.1.2,104.208.16.88,65531,443,W,PA,TCP,128,497,[PORT][FLAG]
10-02-2022 00:00:18,192.168.1.2,104.208.16.88,65531,443,W,PA,TCP,128,682,[PORT][FLAG]
10-02-2022 00:00:18,104.208.16.88,192.168.1.2,443,65531,O,A,TCP,105,40,[PORT]
10-02-2022 00:00:18,104.208.16.88,192.168.1.2,443,65531,O,PA,TCP,105,524,[PORT][FLAG]
10-02-2022 00:00:19,192.168.1.2,104.208.16.88,65531,443,W,A,TCP,128,40,[PORT]
10-02-2022 00:00:19,192.168.1.2,104.208.16.88,65531,443,W,RA,TCP,128,40,[PORT]
